"PID","lebe_cont","cand_rightwing","cand_change_R","cand_exp","cand_change","cand_econ","cand_cult","mob","soccon","lonely","selfplacement","mob_1R","mob_2","mob_3R","mob_4","mob_5","mob_6","mob_7R","mob_8R","soccon_1","soccon_2","soccon_3","soccon_4R","soccon_5","lonely_1","lonely_2","lonely_3","lebecool_self","lebecool_white","lebecool_black","lebecool_asian","lebecool_latino","ideo","party_gen","party_dem","party_rep","party_ind","party_followup","att_1","att_2","is_elg","age","gender","race","edu","income","income_num","edu_num","white_bin","man_bin","rep_bin","dem_bin","ind_bin","feedback"
"RJ099ov",30,5.5,7,4,1,4,7,6,4.4,7,4,6,6,6,6,6,6,6,6,5,5,5,2,5,2,3,2,53,70,65,75,50,6,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,1,33,"woman","White","GED","$60,001-$80,000",4,2,1,0,1,0,0,NA
"JW702gk",37,5.5,2,4,6,6,5,6,1.2,3,3,6,6,6,5,6,6,7,6,1,1,1,2,1,1,1,1,72,81,63,76,66,5,"Independent",NA,NA,"Closer to Republican","Independent | Closer to Republican",1,1,1,76,"man","White","4yearColl","$20,001-$40,000",2,4,1,1,0,0,1,NA
"CO078ca",30,4.5,4,3,4,5,4,4.75,4.2,7,2.5,5,5,5,4,4,5,5,5,5,5,3,3,5,3,2,2,60,60,30,70,20,4,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,1,1,56,"woman","Middle Eastern or North African","2yearColl","$80,001-$100,000",5,3,0,0,0,0,1,NA
"LY345uu",80,2.5,2,5,6,3,2,4.875,6.2,9,2,5,5,6,5,5,5,5,3,7,7,6,5,6,3,3,3,46,87,37,27,18,4,"Independent",NA,NA,"Closer to Republican","Independent | Closer to Republican",1,1,1,28,"woman","White","GED","$20,001-$40,000",2,2,1,0,0,0,1,NA
"DE771ph",65,4,2,5,6,3,5,6.25,4,6,1,7,6,7,6,5,6,6,7,5,5,3,2,5,2,2,2,72,30,70,37,48,5,"Independent",NA,NA,"Neither","Independent | Neither",1,1,1,41,"man","multiracial","2yearColl","$100,001-$120,000",6,3,0,1,0,0,1,"None"
"WU678dd",80,6,5,2,3,5,7,3.25,3.8,7,4,2,3,3,3,5,6,2,2,4,3,4,3,5,3,2,2,20,60,11,90,30,7,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,1,26,"man","White","GED","$60,001-$80,000",4,2,1,1,1,0,0,NA
"AU777vn",40,2,4,4,4,1,3,5,4.2,6,3,6,4,6,4,5,4,6,5,5,3,5,3,5,2,2,2,70,100,45,75,25,3,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,1,1,53,"woman","White","4yearColl","$140,001-$160,000",8,4,1,0,0,0,1,"Everything went well, no issues with the study."
"EK067dl",80,6,2,5,6,6,6,5.5,4.2,5,3,6,6,2,6,6,6,6,6,5,3,5,3,5,1,2,2,50,100,30,55,40,6,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,1,35,"woman","White","GED","$20,001-$40,000",2,2,1,0,1,0,0,NA
"SL012dg",85,2,5,3,3,2,2,2.25,6.8,7,5,3,2,2,2,3,2,2,2,7,6,7,7,7,2,2,3,8,60,11,73,33,3,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,1,1,28,"woman","White","GED","$20,001-$40,000",2,2,1,0,0,0,1,NA
"BI100lf",70,2.5,5,3,3,2,3,4,6.4,8,5,2,4,5,5,6,5,2,3,6,7,6,6,7,3,2,3,5,70,60,85,50,4,"Independent",NA,NA,"Neither","Independent | Neither",1,1,1,53,"man","White","GED","$0-$20,000",1,2,1,1,0,0,1,"No comments."
