"","PID","mrl","mpcs"
"1","AG709ww",0.681423523373252,0.330422522758022
"2","AI993kq",0.64082973365324,0.263328434417602
"3","AM446ec",0.674729031423422,0.319074082306986
"4","AM783tw",0.699803000145431,0.362155298765682
"5","AR222lk",0.73620979312805,0.427506074372058
"6","AR459ei",0.67556493359726,0.320484974382839
"7","AY506ri",0.650589306069737,0.279083056465378
"8","BA221pq",0.588160531321978,0.236921612372444
"9","BA969ut",0.652647793182711,0.23459885592835
"10","BD747ot",0.793617974455668,0.259658978758236
"11","BG478xb",0.644060259315704,0.268517022037265
"12","BN140jn",0.638018305689672,0.288480830074143
"13","BN683kh",0.760679696235895,0.367950400398299
"14","BR905ew",0.646357680700291,0.223704335200345
"15","BU741iq",0.691628530710595,0.304466699323861
"16","CA003hz",0.665301460276122,0.303282541306925
"17","CF012iz",0.641405317658911,0.264250976901411
"18","CG199xe",0.688725818818885,0.299124338010324
"19","CH472sk",0.741056120588884,0.436455217327809
"20","CK578la",0.66244077336423,0.298534722769249
"21","CL525ij",0.666313538784183,0.332768478360521
"22","CS999ft",0.671284735801554,0.313278995650202
"23","CU252tz",0.656202403904642,0.288251993612788
"24","DF300ki",0.759104310273292,0.364359030813235
"25","DG393mo",0.747197472787803,0.337456095010719
"26","DL706hd",0.683296487597118,0.333617612453198
"27","DL870tq",0.722154294391996,0.282260237363203
"28","DO703rt",0.737957815186944,0.316872605493232
"29","DV209rg",0.78698405202963,0.238687796297951
"30","EE414ia",0.67145363749073,0.313562484124415
"31","EH114pg",1,NA
"32","EL670hv",0.860183430466309,0.479831068097574
"33","EU401qj",0.660705656756976,0.295664956088333
"34","EY436xa",0.702958990916558,0.241227014365639
"35","FB409hc",0.659518688695614,0.293706125923477
"36","FG436ku",0.731166544129254,0.301906772880875
"37","FK664ez",0.69284096714561,0.306704807673686
"38","FP221xz",0.673548921456272,0.27155753279321
"39","FT444df",0.636367954992164,0.256205217676136
"40","FW806vy",0.601393575598746,0.255286604900019
"41","FZ048vk",0.621866058624043,0.264060873842323
"42","FZ397qe",0.651265300690807,0.28018311485486
"43","FZ705zg",0.731626726467718,0.302916500322803
"44","FZ844rf",0.806363210012616,0.475332439692774
"45","GB721ld",0.74380430112456,0.404326451161859
"46","GD488jz",0.642994812396907,0.266802910961668
"47","GK945xg",0.729859377067811,0.29904206544072
"48","GM461qv",0.999999999999998,NA
"49","GN635zf",0.688476678961918,0.298666849965908
"50","GP061si",0.651100444052902,0.34163632942387
"51","GP371uf",0.629645281826816,0.195270907902361
"52","GS727ti",0.62188352964319,0.264086949329768
"53","GV585me",0.655696085176114,0.287421695144102
"54","GY396ri",0.805445723298591,0.297485626359982
"55","GZ031of",0.6195892148714,0.295875194497095
"56","HF627ps",0.713557358892464,0.263746156644382
"57","HH826sp",0.745984795038171,0.334739971642212
"58","HL901lr",0.73180074552418,0.380709774866328
"59","HT082zb",0.624314251940667,0.237210356470293
"60","HT363bv",0.601594068854662,0.291017137423453
"61","HT726ky",0.73249999174294,0.30483435685511
"62","HU026cu",0.647359852752712,0.225433038608018
"63","HW228bp",0.692307724209926,0.349112481250909
"64","HY855nh",0.725388292113842,0.289282261503755
"65","IB006kj",0.596574303284374,0.263886742101984
"66","ID267zs",0.632977494735825,0.300770593649048
"67","IF897yj",0.647237615121487,0.273645663035188
"68","II888eo",0.695333243091494,0.354360398685168
"69","IJ244nc",0.738130083741823,0.317254030787066
"70","IL272mv",0.645167624615866,0.270301579815599
"71","IR836xh",0.899309690485623,0.71313687910202
"72","IS906ba",0.707708866988103,0.251277760620376
"73","IS917tz",0.810778674287492,0.314724117358767
"74","IU153ys",0.689431106315067,0.344144062943521
"75","IW068if",0.722851305162072,0.363352012499348
"76","IW128sz",0.635551013383406,0.304579272381453
"77","IW155dx",0.791271608061759,0.252221515449283
"78","IW455ya",0.783871300243722,0.228908430691565
"79","IY459uk",0.718247645076894,0.354506239544672
"80","JC920sd",0.57554053828571,0.256941012455784
"81","JD089ot",0.734186895426252,0.385373863220852
"82","JF171gy",0.677077760835039,0.187651441326086
"83","JF207gd",0.715082667550416,0.267014832146529
"84","JF344ub",0.807762687405722,0.304961118329828
"85","JH512hv",0.725734250618585,0.29003530378138
"86","JM046ls",1,NA
"87","JM515sx",0.727296329973429,0.293439927389229
"88","JN822jx",0.639070473732115,0.290093284475427
"89","JR524ii",0.630331870721431,0.296871311788375
"90","JV266fd",0.687862660829923,0.341443800205027
"91","KB542qb",0.639207825222732,0.324099021515399
"92","KC770vj",0.743501313850056,0.329191305545139
"93","KC864lx",0.839214708219925,0.408562652985307
"94","KD013fo",0.636954434148544,0.306662776378408
"95","KG931wh",1,NA
"96","KI255uh",0.620890658480502,0.23188151223544
"97","KK724gt",0.669510041594689,0.310304619745152
"98","KN331zm",0.66318042128297,0.299760338966322
"99","KP740il",0.758575791315912,0.433916308227415
"100","KS809gz",0.732774739567235,0.305438228421743
"101","KW879mg",0.825224998363537,0.361992595848199
"102","LA963yf",0.632722941374,0.250422900676209
"103","LB035hp",0.656202403904642,0.288251993612788
"104","LX380kr",0.709174799544715,0.337238528412383
"105","MA423or",0.608063237454202,0.279703886563754
"106","MA816im",0.872536991769841,0.522641604013527
"107","MK233tu",0.686901118390742,0.295777528595269
"108","NH558fu",0.755545048583162,0.42779776058471
"109","NI682pa",0.672630160684969,0.315539166328858
"110","NS006zv",0.66573547201411,0.257604958263799
"111","NU471vz",0.827947761634903,0.370994991992494
"112","OC829jn",0.656202403904642,0.288251993612788
"113","OG485nh",0.659923756969787,0.247332486684157
"114","PG316zo",0.675614530119421,0.320568741635607
"115","PG330pq",0.622956883677365,0.265690334705217
"116","PJ014nl",0.660286291438733,0.294972483327394
"117","PJ136ll",0.67843248112121,0.280360841920374
"118","PM697ft",0.685525507168936,0.337431526224034
"119","PN091zs",0.649611277007143,0.277493514018563
"120","PT564kb",0.634281294707257,0.252890951019393
"121","PX628uy",0.815741328822921,0.33086783109957
"122","QD203mo",0.672751891388783,0.315743884208981
"123","QH644ue",0.748484721226978,0.34034406686534
"124","QK970xr",0.589245906396987,0.274678598006229
"125","QY410ow",0.677878726648858,0.324399460053847
"126","RB280al",0.74200020093105,0.325846447272578
"127","RF010xy",0.668994480097375,0.263404819201009
"128","RG025wa",0.595824114694434,0.262864429315893
"129","RK008in",0.768101553770306,0.179959993808716
"130","RN111vv",0.650321997721929,0.2786483759013
"131","RQ906bx",0.812341415121631,0.319797149443627
"132","RV165fl",0.67466433907677,0.318964963027368
"133","RV570ep",0.664191279743691,0.301437570109452
"134","SB204bg",0.777837369550498,0.210061946938475
"135","SJ620bp",0.658893419488611,0.292675672806743
"136","SQ964dp",0.693791935703703,0.308463000063321
"137","SR919qq",0.647439247562481,0.273971974105339
"138","SW020es",0.697239064311633,0.314856417069549
"139","SW974qp",0.66695605769449,0.33379645947445
"140","TA105la",0.653657288845542,0.284084814076131
"141","TA375id",0.84114503948783,0.561287466182475
"142","TE096nn",0.67493045867227,0.31941390505445
"143","TF448bf",0.721043343599046,0.279855255022737
"144","TK689nu",0.73404831218372,0.308240386929651
"145","TL153cy",0.647138762950478,0.273485723141344
"146","TS698ab",0.585708228969588,0.24920471940879
"147","TT028zm",0.607013047967157,0.278245531888432
"148","TU528ob",0.622003528769085,0.233610487251492
"149","UB643ue",0.687717251324671,0.297273357026082
"150","UH830fx",0.613237707675503,0.27207056713429
"151","UU234cj",0.743229504018494,0.328585143465366
"152","VA658ao",0.753375251709748,0.351361404833088
"153","VG516jp",0.760064026857191,0.366545987383553
"154","VM013eb",0.746857368749582,0.336693893883325
"155","VN588gk",0.675369270727092,0.347348382210933
"156","VO721kd",0.71672777828829,0.351598277560091
"157","VP449hx",0.702308481486447,0.366546503959748
"158","VR318yq",0.670090432836811,0.311276485224281
"159","VR912fh",0.64325129621224,0.296526676094472
"160","VV360uz",0.865450464584271,0.49800901329826
"161","VW388us",0.665787131611189,0.304090630773819
"162","VY243nv",0.686205176565223,0.294503392459878
"163","WE395gy",0.76707441958424,0.451204220240665
"164","WE857pj",0.661461667105641,0.325037844460208
"165","WF463nw",0.707827837651667,0.334693663672846
"166","WG155do",0.665263784763764,0.256767871090943
"167","WH640ds",0.650627502728886,0.279145184134033
"168","WM184wm",0.735122763451038,0.387207303125188
"169","WM775rx",0.699962746210172,0.319930461442782
"170","WN170fi",0.682107156692342,0.33158771651364
"171","WR468pv",0.618419653353523,0.228053584567365
"172","WT519ki",0.779752356208916,0.216027474026713
"173","WU227xd",0.600028334497534,0.26861028822844
"174","XA323ri",0.999999999999997,NA
"175","XE987ty",0.670133952109525,0.338895416523917
"176","XJ512ns",0.648986127249796,0.27647874170336
"177","XK398tk",0.713170379107348,0.262917984454179
"178","XO687zh",0.696189052978245,0.312905596648995
"179","XQ558tt",0.708253130251988,0.377028120639674
"180","YA457dg",0.570182867502099,0.250120558214351
"181","YB659ta",0.837818624517126,0.403880095175538
"182","YD003an",0.697784282433425,0.230354357216694
"183","YD507fd",0.634409209140575,0.20330005952316
"184","YD948tj",0.651160629432333,0.28001270665339
"185","YF301sz",0.718126758867038,0.273559062701316
"186","YH076he",0.678170872144178,0.324894664780994
