"PID","STATE","COUNTY","CAND_1","CAND_2","RACETYPE","PLACENAME","lebe_cont","vote_sweep","vote_sweep_all","vote_other","vote_inc_all","vote_t2","vote_sweep_t2","vote_sweep_all_t2","vote_other_t2","vote_inc_all_t2","cand1_change","cand2_change","cand1_rightwing","cand2_rightwing","cand1_cult","cand2_cult","cand1_econ","cand2_econ","vote_turnout","vote_who","ideo","party_gen","party_dem","party_rep","party_ind","party_followup","party_id","is_elg","age","gender","race","edu","income","income_num","edu_num","white_bin","man_bin","rep_bin","dem_bin","ind_bin","feedback"
"RU160di","New Jersey","Mercer","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",54,0,0,0,1,"Mikie Sherill",0,0,0,1,7,2,7,2.5,7,3,7,2,"Yes","Mikie Sherill",3,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong","Dem",1,54,"man","Black or African American","MA","Over $200,000",11,5,0,1,0,1,0,NA
"RV098em","New York","New York","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",65,1,1,0,0,"Zohran Mamdani",1,1,0,0,6,2,2,5,2,5,2,5,"Yes","Zohran Mamdani",2,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic","Dem",1,34,"man","Black or African American","GED","$60,001-$80,000",4,2,0,1,0,0,1,NA
"RV794ye","New York","Queens","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",80,NA,0,1,0,"No Vote",NA,0,1,0,7,1,1,7,1,7,1,7,"Not sure",NA,1,"Democrat","Strong",NA,NA,"Democrat | Strong","Dem",1,43,"woman","Asian","4yearColl","$100,001-$120,000",6,4,0,0,0,1,0,NA
"RW414oe","New York","New York","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",60,1,1,0,0,NA,NA,NA,NA,NA,4,1,2,6,1,5,3,7,"Yes","Zohran Mamdani",1,"Democrat","Strong",NA,NA,"Democrat | Strong","Dem",1,32,"woman","Hispanic, Latino, or Spanish origin","MA","$120,001-$140,000",7,5,0,0,0,1,0,NA
"RW420za","New York","Kings","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",29,NA,0,1,0,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4,"No","Curtis Sliwa",3,"Independent",NA,NA,"Closer to Republican","Independent | Closer to Republican","Rep",1,20,"man","White","GED","$40,001-$60,000",3,2,1,1,0,0,1,NA
"RY602zl","New Jersey","Monmouth","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",39,0,0,0,1,NA,NA,NA,NA,NA,6,1,3.5,4,6,2,1,6,"Yes","Mikie Sherill",2,"Democrat","Strong",NA,NA,"Democrat | Strong","Dem",1,47,"woman","Hispanic, Latino, or Spanish origin","2yearColl","$40,001-$60,000",3,3,0,0,0,1,0,NA
"RY713mz","Minnesota","Hennepin","Jacob Frey","Omar Fateh","Mayoral","Minneapolis",69,0,0,0,1,"Jacob Frey",0,0,0,1,2,3,2.5,3.5,3,3,2,4,"Not sure","Jacob Frey",1,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong","Dem",1,38,"woman","White","2yearColl","$20,001-$40,000",2,3,1,0,0,1,0,"No comments"
"RZ373wv","New York","Queens","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",20,NA,0,1,0,"No Vote",NA,0,1,0,4,4,4.5,4.5,3,5,6,4,"No",NA,4,"Independent",NA,NA,"Neither","Independent | Neither","Ind",1,43,"man","Asian","4yearColl","$100,001-$120,000",6,4,0,1,0,0,1,NA
"SA761zd","New Jersey","Ocean","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",50,0,0,0,1,"Mikie Sherill",0,0,0,1,5,3,7,1.5,7,2,7,1,"Yes","Mikie Sherill",1,"Democrat","Strong",NA,NA,"Democrat | Strong","Dem",1,35,"woman","White","GED","$120,001-$140,000",7,2,1,0,0,1,0,NA
"SA940ez","New Jersey","Hudson","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",100,0,0,0,1,"Mikie Sherill",0,0,0,1,7,1,7,2,7,3,7,1,"Yes","Mikie Sherill",1,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong","Dem",1,26,"woman","Hispanic, Latino, or Spanish origin","4yearColl","$140,001-$160,000",8,4,0,0,0,1,0,NA
