"PID","STATE","COUNTY","CAND_1","CAND_2","RACETYPE","PLACENAME","lebe_cont","vote_sweep","vote_sweep_all","vote_other","vote_inc_all","cand1_change","cand2_change","cand1_rightwing","cand2_rightwing","cand1_cult","cand2_cult","cand1_econ","cand2_econ","vote_turnout","vote_who","ideo","party_gen","party_dem","party_rep","party_ind","party_followup","is_elg","age","gender","race","edu","income","income_num","edu_num","white_bin","man_bin","rep_bin","dem_bin","ind_bin","feedback"
"RK899tf","New York","Richmond","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",43,1,1,0,0,6,2,2,6,2,5,2,7,"Yes","Zohran Mamdani",3,"Democrat","Strong",NA,NA,"Democrat | Strong",1,54,"man","multiracial","4yearColl","$20,001-$40,000",2,4,0,1,0,1,0,NA
"AV005kx","New Jersey","Monmouth","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",0,0,0,0,1,1,7,7,1,7,1,7,1,"No","Mikie Sherill",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,32,"man","White","GED","$40,001-$60,000",3,2,1,1,0,1,0,NA
"BO961nj","New Jersey","Hudson","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",52,1,1,0,0,4,4,2,5.5,1,4,3,7,"No","Jack Ciattarelli",4,"No preference",NA,NA,"Neither","Independent | Neither",1,31,"woman","Asian","MA","$80,001-$100,000",5,5,0,0,0,0,0,NA
"IK979xh","New Jersey","Hudson","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",80,0,0,0,1,3,5,6,3.5,6,3,6,4,"Not sure","Mikie Sherill",2,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,39,"man","multiracial","4yearColl","$20,001-$40,000",2,4,0,1,0,1,0,NA
"BB195cc","New York","New York","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",55,1,1,0,0,5,3,4,3.5,6,2,2,5,"Yes","Zohran Mamdani",3,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,18,"woman","White","GED","$0-$20,000",1,2,1,0,0,1,0,NA
"TI893lg","New Jersey","Union","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",0,0,0,0,1,3,7,6.5,1,7,1,6,1,"Yes","Mikie Sherill",4,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,25,"woman","Black or African American","4yearColl",NA,NA,4,0,0,0,0,1,NA
"BM742ja","New York","Queens","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",71,0,0,0,1,5,3,4,3.5,2,4,6,3,"Not sure","Andrew Cuomo",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,48,"woman","Black or African American","2yearColl","$140,001-$160,000",8,3,0,0,0,1,0,NA
"JR466uz","New Jersey","Bergen","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",40,0,0,0,1,7,1,7,2,7,1,7,3,"Yes","Mikie Sherill",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,30,"woman","Hispanic, Latino, or Spanish origin","4yearColl","$40,001-$60,000",3,4,0,0,0,1,0,NA
"RQ672zf","Minnesota","Hennepin","Jacob Frey","Omar Fateh","Mayoral","Minneapolis",41,0,0,0,1,5,2,5,3,5,3,5,3,"Yes","Jacob Frey",2,"Democrat","Strong",NA,NA,"Democrat | Strong",1,29,"man","Black or African American","MA","$140,001-$160,000",8,5,0,1,0,1,0,NA
"FH951fy","New Jersey","Monmouth","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",39,1,1,0,0,5,4,5.5,2,5,2,6,2,"Yes","Jack Ciattarelli",5,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,40,"woman","White","4yearColl","$180,001-$200,000",10,4,1,0,1,0,0,NA
