"PID","STATE","COUNTY","CAND_1","CAND_2","RACETYPE","PLACENAME","race_num","cand1_change","cand2_change","cand1_cult","cand2_cult","cand1_econ","cand2_econ","vote_turnout","vote_who","ideo","party_gen","party_dem","party_rep","party_ind","party_followup","is_elg","age","gender","race","edu","income","income_num","edu_num","white_bin","man_bin","rep_bin","dem_bin","ind_bin","feedback"
"HU797ts","New York","Kings","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,7,1,1,7,7,3,"Yes","Zohran Mamdani",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,35,"man","Hispanic, Latino, or Spanish origin","2yearColl","$0-$20,000",1,3,0,1,0,1,0,NA
"TF489gx","New York","Queens","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,4,4,5,5,4,4,"Yes",NA,4,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,30,"woman","Hispanic, Latino, or Spanish origin","MA","$100,001-$120,000",6,5,0,0,0,1,0,NA
"PS946iq","New York","Queens","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,7,1,1,3,1,7,"Yes","Andrew Cuomo",3,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,45,"man","White","4yearColl","$120,001-$140,000",7,4,1,1,0,0,1,NA
"UG809jj","New York","Queens","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,6,3,1,5,2,5,"No","Zohran Mamdani",2,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,25,"woman","Asian","4yearColl","$20,001-$40,000",2,4,0,0,0,1,0,NA
"CT505qk","New York","New York","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,7,2,1,7,2,6,"Yes","Zohran Mamdani",3,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,38,"woman","Black or African American","4yearColl","$20,001-$40,000",2,4,0,0,0,1,0,NA
"NE258oo","New York","Queens","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,6,1,1,6,1,5,"Yes","Zohran Mamdani",2,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,25,"man","Asian","MA","$80,001-$100,000",5,5,0,1,0,1,0,NA
"XQ167xa","New York","Bronx","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,5,6,5,4,4,5,"Not sure","Andrew Cuomo",6,"Republican",NA,"Strong",NA,"Republican | Strong",1,33,"man","Black or African American","4yearColl","$40,001-$60,000",3,4,0,1,1,0,0,"had a great study"
"VG190uy","New York","New York","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,5,2,1,5,1,6,"Not sure","Zohran Mamdani",1,"Other party",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,25,"man","Black or African American","GED","$20,001-$40,000",2,2,0,1,0,0,0,NA
"PZ611oh","New York","Queens","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,1,1,1,7,4,2,"Yes","Zohran Mamdani",3,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,34,"man","White","4yearColl","$100,001-$120,000",6,4,1,1,0,1,0,NA
"NO915vf","New York","Kings","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,7,1,1,4,2,5,"Not sure","Zohran Mamdani",3,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,35,"man","White","GED","$0-$20,000",1,2,1,1,0,1,0,NA
